;Price;Return
28/04/2023;35.599998;0.001686731
01/05/2023;36;0.011173357
02/05/2023;34.450001;-0.044009912
03/05/2023;34.23;-0.006406574
04/05/2023;34.48;0.007276993
05/05/2023;35.049999;0.016396139
08/05/2023;36.279999;0.034491013
09/05/2023;36.189999;-0.002483788
10/05/2023;38.869999;0.071439909
11/05/2023;39.880001;0.025652251
12/05/2023;39.360001;-0.013124873
15/05/2023;38.970001;-0.009957953
16/05/2023;39.25;0.007159299
17/05/2023;41.830002;0.063662389
18/05/2023;42.07;0.005721064
19/05/2023;40.009998;-0.050205525
22/05/2023;39.490002;-0.013081847
23/05/2023;39.66;0.004295597
24/05/2023;40.509998;0.021205685
25/05/2023;39.509998;-0.024995054
26/05/2023;40.119999;0.015321184
30/05/2023;39.59;-0.013298377
31/05/2023;41.860001;0.05575418
01/06/2023;42.130001;0.006429359
02/06/2023;40.34;-0.043416567
05/06/2023;40.790001;0.011093445
06/06/2023;41.330002;0.013151699
07/06/2023;38.639999;-0.067300693
08/06/2023;38.869999;0.005934736
09/06/2023;38.689999;-0.004641576
12/06/2023;38.950001;0.006697655
13/06/2023;40.279999;0.033576245
14/06/2023;39.91;-0.009228124
15/06/2023;40.630001;0.017879816
16/06/2023;41.799999;0.028389581
20/06/2023;41.77;-0.000717937
21/06/2023;38.599998;-0.078926154
22/06/2023;39.139999;0.013892712
23/06/2023;37.849998;-0.033514009
26/06/2023;39.209999;0.035300864
27/06/2023;41.82;0.064442903
28/06/2023;40.02;-0.043995365
29/06/2023;38.740002;-0.03250662
30/06/2023;40.299999;0.039478735
03/07/2023;42.099998;0.043696249
05/07/2023;41.720001;-0.009067039
06/07/2023;39.98;-0.042601325
07/07/2023;41.150002;0.028844647
10/07/2023;41.630001;0.01159711
11/07/2023;43.639999;0.047153053
12/07/2023;43.459999;-0.004133186
13/07/2023;44.299999;0.019143703
14/07/2023;43;-0.029784539
17/07/2023;44.459999;0.03338977
18/07/2023;45.540001;0.024001197
19/07/2023;44.860001;-0.015044531
20/07/2023;41.040001;-0.088999326
21/07/2023;40.57;-0.011518348
24/07/2023;39.549999;-0.025463208
25/07/2023;39.66;0.002777454
26/07/2023;39.950001;0.007285574
27/07/2023;37.91;-0.052413768
28/07/2023;38.93;0.026550232
31/07/2023;39.25;0.008186283
01/08/2023;39.43;0.004575504
02/08/2023;37.630001;-0.046725317
03/08/2023;36.68;-0.025569984
04/08/2023;37.48;0.02157581
07/08/2023;37.599998;0.00319654
08/08/2023;37.740002;0.003716596
09/08/2023;29.459999;-0.247687216
